ID Number,Symbol,Name,LastSale,MarketCap,IPOyear,Sector,Industry,Summary Quote
1,AAPL,Apple Inc.,101.66,608726559220.00,1980,Technology,Computer Manufacturing,http://www.nasdaq.com/symbol/aapl
2,GOOGL,Google Inc.,584.9,395621672611.40,n/a,Technology,Computer Software: Programming; Data Processing,http://www.nasdaq.com/symbol/googl
3,GOOG,Google Inc.,575.62,389344754981.32,2004,Technology,Computer Software: Programming; Data Processing,http://www.nasdaq.com/symbol/goog
4,MSFT,Microsoft Corporation,46.695,384759739202.36,1986,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/msft
5,FB,"Facebook, Inc.",77.48,201451997270.68,2012,Technology,Computer Software: Programming; Data Processing,http://www.nasdaq.com/symbol/fb
6,INTC,Intel Corporation,34.62,171403620000.00,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/intc
7,GILD,"Gilead Sciences, Inc.",103.66,156699759468.96,1992,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/gild
8,AMZN,"Amazon.com, Inc.",331.19,153021740264.47,1997,Consumer Services,Catalog/Specialty Distribution,http://www.nasdaq.com/symbol/amzn
9,CMCSA,Comcast Corporation,57.08,147728921237.80,n/a,Consumer Services,Television Services,http://www.nasdaq.com/symbol/cmcsa
10,CMCSK,Comcast Corporation,56.9,147263062691.50,n/a,Consumer Services,Television Services,http://www.nasdaq.com/symbol/cmcsk
11,CSCO,"Cisco Systems, Inc.",25.16,128295951732.04,1990,Technology,Computer Communications Equipment,http://www.nasdaq.com/symbol/csco
12,QCOM,QUALCOMM Incorporated,75.33,126254855603.43,1991,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/qcom
13,AMGN,Amgen Inc.,137.89,104742240944.70,1983,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/amgn
14,BIIB,Biogen Idec Inc.,323.39,76366836149.95,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/biib
15,FOX,"Twenty-First Century Fox, Inc.",34.09,74659020664.69,n/a,Consumer Services,Television Services,http://www.nasdaq.com/symbol/fox
16,CELG,Celgene Corporation,91.52,73171164352.00,1987,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/celg
17,EBAY,eBay Inc.,52.19,64778889195.11,1998,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/ebay
18,PCLN,The Priceline Group Inc. ,1163.94,61045982921.64,1999,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/pcln
19,BIDU,"Baidu, Inc.",217.96,60225092116.40,2005,Technology,Computer Software: Programming; Data Processing,http://www.nasdaq.com/symbol/bidu
20,MDLZ,"Mondelez International, Inc.",35.32,59545577581.60,n/a,Consumer Non-Durables,Packaged Foods,http://www.nasdaq.com/symbol/mdlz
21,SBUX,Starbucks Corporation,75.47,56693064000.00,1992,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/sbux
22,ESRX,Express Scripts Holding Company,73.735,54965755750.00,1992,Health Care,Medical/Nursing Services,http://www.nasdaq.com/symbol/esrx
23,COST,Costco Wholesale Corporation,125.37,54949131407.52,n/a,Consumer Services,Department/Specialty Retail Stores,http://www.nasdaq.com/symbol/cost
24,TXN,Texas Instruments Incorporated,47.83,51061183343.57,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/txn
25,FOXA,"Twenty-First Century Fox, Inc.",35.05,48773315349.40,n/a,Consumer Services,Television Services,http://www.nasdaq.com/symbol/foxa
26,QQQ,"PowerShares QQQ Trust, Series 1",99.48,47223156000.00,n/a,n/a,n/a,http://www.nasdaq.com/symbol/qqq
27,DTV,DIRECTV,86.85,43618581180.90,n/a,Consumer Services,Telecommunications Equipment,http://www.nasdaq.com/symbol/dtv
28,YHOO,Yahoo! Inc.,42.88,42648610429.44,1996,Technology,EDP Services,http://www.nasdaq.com/symbol/yhoo
29,ADP,"Automatic Data Processing, Inc.",83.02,39925323123.14,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/adp
30,ADBE,Adobe Systems Incorporated,70.98,35303694464.22,1986,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/adbe
31,REGN,"Regeneron Pharmaceuticals, Inc.",346.06,34974776416.58,1991,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/regn
32,TSLA,"Tesla Motors, Inc.",279.2,34796644068.80,2010,Capital Goods,Auto Manufacturing,http://www.nasdaq.com/symbol/tsla
33,VIAB,Viacom Inc.,79.515,34490883452.22,n/a,Consumer Services,Television Services,http://www.nasdaq.com/symbol/viab
34,KRFT,"Kraft Foods Group, Inc.",57.72,34284005658.24,n/a,Consumer Non-Durables,Packaged Foods,http://www.nasdaq.com/symbol/krft
35,LBTYA,Liberty Global plc,43.91,34224946983.91,n/a,Consumer Services,Television Services,http://www.nasdaq.com/symbol/lbtya
36,LBTYB,Liberty Global plc,43.76,34108031883.76,n/a,Consumer Services,Television Services,http://www.nasdaq.com/symbol/lbtyb
37,MU,"Micron Technology, Inc.",31.525,33757702861.68,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/mu
